
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
  Tier 1 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=34 center=(114.041, 146.107) dx=-1.06812 dy=-1.20456 rot90=0 weight=2
    [move_apply] module_id=30 center=(125.106, 111.484) dx=2.65808 dy=-1.53881 rot90=1 weight=2
    [move_apply] module_id=0 center=(149.983, 154.786) dx=-2.20883 dy=1.77609 rot90=0 weight=2
    [move_apply] module_id=10 center=(147.106, 110.349) dx=0 dy=1.98081 rot90=0 weight=2
    [move_apply] module_id=57 center=(90.4671, 132.389) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=55 center=(178.514, 112.349) dx=0.687707 dy=-0.664175 rot90=0 weight=2
    [move_apply] module_id=86 center=(88, 86.2825) dx=-0.743009 dy=-1.29804 rot90=0 weight=2
    [move_apply] module_id=97 center=(128.883, 65.9842) dx=1.25263 dy=-1.26444 rot90=0 weight=2
    [move_apply] module_id=24 center=(193.983, 165.893) dx=0 dy=0.778215 rot90=0 weight=2
    [move_apply] module_id=16 center=(149.897, 200.291) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=41 center=(113.498, 200.607) dx=0 dy=0.507445 rot90=0 weight=2
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=38 center=(211.913, 123.972) dx=0.98835 dy=-2.39554 rot90=0 weight=2
    [move_apply] module_id=21 center=(67.9976, 182.75) dx=1.5926 dy=-1.02653 rot90=0 weight=2
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=19 center=(186.5, 204.893) dx=-1.4791 dy=0 rot90=0 weight=2
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=-4.77333 rot90=0 weight=2
    [move_apply] module_id=23 center=(226.483, 186.5) dx=2.67398 dy=-0.71374 rot90=0 weight=2
    [move_apply] module_id=60 center=(246.495, 125.186) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=78 center=(248.091, 152.686) dx=2.16095 dy=-1.85718 rot90=0 weight=2
    [move_apply] module_id=3 center=(18.5, 144.076) dx=0 dy=-0.334143 rot90=0 weight=2
    [move_apply] module_id=25 center=(111.933, 248.291) dx=0.137936 dy=-0.20898 rot90=0 weight=2
    [move_apply] module_id=26 center=(110.006, 20) dx=1.32877 dy=0 rot90=0 weight=2
    [move_apply] module_id=80 center=(76.933, 238.616) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=93 center=(171.433, 250.5) dx=2.02104 dy=0 rot90=0 weight=2
    [move_apply] module_id=17 center=(246, 79.4316) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=53 center=(61.0062, 21.8307) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=45 center=(256.5, 190.686) dx=0 dy=0.406178 rot90=0 weight=2
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0.185324 rot90=0 weight=2
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=2
  Tier 1 [left->right] init_w=3.00 mul=2.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=3 center=(18.5, 142.573) dx=0 dy=-1.50365 rot90=0 weight=6
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=21 center=(68.5409, 182.75) dx=0.543291 dy=0 rot90=0 weight=6
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=53 center=(61.0062, 21.8307) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=86 center=(88, 86.041) dx=0 dy=-0.241428 rot90=0 weight=6
    [move_apply] module_id=80 center=(76.933, 238.616) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=57 center=(90.4671, 132.389) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=26 center=(110.006, 20) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=25 center=(111.933, 248.291) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=41 center=(114.041, 200.607) dx=0.543291 dy=0 rot90=0 weight=6
    [move_apply] module_id=34 center=(114.041, 146.107) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=30 center=(125.106, 107.107) dx=-2.84217e-14 dy=-4.37738 rot90=0 weight=6
    [move_apply] module_id=97 center=(132.733, 61.6068) dx=3.84988 dy=-4.37738 rot90=0 weight=6
    [move_apply] module_id=0 center=(149.041, 155.291) dx=-0.942248 dy=0.505286 rot90=0 weight=6
    [move_apply] module_id=16 center=(149.897, 200.291) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=10 center=(150.233, 110.349) dx=3.12671 dy=0 rot90=0 weight=6
    [move_apply] module_id=93 center=(171.433, 250.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=55 center=(180.168, 112.349) dx=1.65366 dy=0 rot90=0 weight=6
    [move_apply] module_id=19 center=(186.5, 204.893) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=24 center=(193.116, 165.893) dx=-0.867583 dy=0 rot90=0 weight=6
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0.586619 dy=0 rot90=0 weight=6
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=23 center=(225.616, 186.5) dx=-0.867583 dy=0 rot90=0 weight=6
    [move_apply] module_id=17 center=(246, 79.4316) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=60 center=(246.495, 125.186) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=78 center=(250, 152.686) dx=1.90882 dy=0 rot90=0 weight=6
    [move_apply] module_id=45 center=(256.5, 190.686) dx=0 dy=0 rot90=0 weight=6
  Tier 1 [right->left] init_w=3.00 mul=2.00 side_bias=0.00(axis=1)
    [move_apply] module_id=78 center=(250, 152.686) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=45 center=(256.5, 190.686) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=17 center=(246, 79.4316) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=60 center=(246.495, 125.186) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=23 center=(225.616, 186.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=24 center=(193.041, 165.893) dx=-0.0746655 dy=0 rot90=0 weight=6
    [move_apply] module_id=93 center=(169.5, 250.5) dx=-1.93304 dy=0 rot90=0 weight=6
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=19 center=(186.5, 204.893) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=55 center=(180.168, 112.349) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=0 center=(149.041, 155.291) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=16 center=(149.897, 200.291) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=10 center=(150.233, 110.349) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=97 center=(132.733, 61.6068) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=25 center=(110, 248.5) dx=-1.93304 dy=0.20898 rot90=0 weight=6
    [move_apply] module_id=30 center=(128.233, 107.107) dx=3.12671 dy=0 rot90=0 weight=6
    [move_apply] module_id=26 center=(105.827, 20) dx=-4.17952 dy=0 rot90=0 weight=6
    [move_apply] module_id=41 center=(114.041, 200.607) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=34 center=(114.041, 146.107) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=86 center=(88, 86.041) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=21 center=(68.5409, 182.75) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=57 center=(90.4671, 132.389) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=80 center=(75, 238.616) dx=-1.93304 dy=0 rot90=0 weight=6
    [move_apply] module_id=53 center=(56.8266, 21.8307) dx=-4.17952 dy=0 rot90=0 weight=6
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=3 center=(18.5, 142.3) dx=0 dy=-0.272921 rot90=0 weight=6
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=6
  Tier 1 [bottom->top] init_w=9.00 mul=3.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=26 center=(105.827, 20) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=53 center=(56.8266, 21.8307) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=97 center=(132.733, 73.5) dx=0 dy=11.8932 rot90=0 weight=27
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=17 center=(246, 79.4316) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=86 center=(88, 86.041) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=10 center=(150.233, 110.349) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=55 center=(180.168, 112.349) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=30 center=(129.233, 120) dx=1 dy=12.8932 rot90=1 weight=27
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=3 center=(18.5, 142.3) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=57 center=(90.4671, 132.389) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=60 center=(246.495, 125.186) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=34 center=(114.041, 160) dx=0 dy=13.8932 rot90=0 weight=27
    [move_apply] module_id=78 center=(250, 152.686) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=0 center=(149.041, 155.291) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=24 center=(193.041, 166.472) dx=0 dy=0.578389 rot90=0 weight=27
    [move_apply] module_id=21 center=(68.5409, 182.75) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=23 center=(225.541, 186.5) dx=-0.0746655 dy=0 rot90=0 weight=27
    [move_apply] module_id=45 center=(256.5, 190.686) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=16 center=(149.897, 200.291) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=41 center=(114.041, 214.5) dx=0 dy=13.8932 rot90=0 weight=27
    [move_apply] module_id=19 center=(186.5, 205.472) dx=0 dy=0.578389 rot90=0 weight=27
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=80 center=(75, 238.616) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=25 center=(110, 248.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=93 center=(169.5, 250.5) dx=0 dy=0 rot90=0 weight=27
  Tier 1 [top->bottom] init_w=9.00 mul=3.00 side_bias=0.00(axis=2)
    [move_apply] module_id=93 center=(169.5, 250.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=25 center=(110, 248.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=80 center=(75, 238.616) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=41 center=(110.5, 215.5) dx=-3.54086 dy=1 rot90=1 weight=27
    [move_apply] module_id=19 center=(186.5, 205.472) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=16 center=(153, 200.291) dx=3.10272 dy=0 rot90=0 weight=27
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=45 center=(256.5, 189) dx=0 dy=-1.68594 rot90=0 weight=27
    [move_apply] module_id=23 center=(225.541, 186.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=21 center=(68.5409, 179.504) dx=0 dy=-3.24636 rot90=0 weight=27
    [move_apply] module_id=34 center=(114.041, 160) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=24 center=(193.041, 166.472) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=3 center=(18.5, 142.3) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=0 center=(149.041, 155.291) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=78 center=(250, 151) dx=0 dy=-1.68594 rot90=0 weight=27
    [move_apply] module_id=57 center=(90.4671, 131.004) dx=0 dy=-1.38565 rot90=0 weight=27
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=55 center=(180.168, 112.349) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=60 center=(246.495, 123.5) dx=0 dy=-1.68594 rot90=0 weight=27
    [move_apply] module_id=10 center=(150.233, 110.349) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=30 center=(129.233, 120) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=17 center=(246, 79) dx=0 dy=-0.431615 rot90=0 weight=27
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=97 center=(132.733, 73.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=86 center=(88, 86.041) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=26 center=(105.827, 20) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=53 center=(56.8266, 21.8307) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=27
  Tier 1 [left->right] init_w=27.00 mul=4.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=3 center=(18.5, 142.3) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=35 center=(15.5, 199.308) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=79 center=(30, 88.2999) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=88 center=(18.5, 51.9028) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=70 center=(45.465, 244.75) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=53 center=(56.8266, 21.8307) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=83 center=(47.0226, 215.75) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=21 center=(69, 179.504) dx=0.459139 dy=0 rot90=0 weight=108
    [move_apply] module_id=87 center=(60.8191, 132.504) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=31 center=(58.0278, 50.541) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=86 center=(88, 86.041) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=80 center=(75, 238.616) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=61 center=(92.1053, 54.0045) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=26 center=(105.827, 20) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=57 center=(90.4671, 131.004) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=25 center=(110, 248.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=41 center=(121.5, 201.5) dx=11 dy=-14 rot90=1 weight=108
    [move_apply] module_id=34 center=(114.5, 147) dx=0.459139 dy=-13 rot90=0 weight=108
    [move_apply] module_id=30 center=(128, 107) dx=-1.23257 dy=-13 rot90=0 weight=108
    [move_apply] module_id=97 center=(132.733, 60.5) dx=0 dy=-13 rot90=0 weight=108
    [move_apply] module_id=0 center=(149.5, 155.291) dx=0.459139 dy=0 rot90=0 weight=108
    [move_apply] module_id=16 center=(153, 200.5) dx=0 dy=0.20898 rot90=0 weight=108
    [move_apply] module_id=93 center=(169.5, 250.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=10 center=(150.233, 110.349) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=55 center=(180.168, 112.349) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=24 center=(193.5, 166.472) dx=0.459139 dy=0 rot90=0 weight=108
    [move_apply] module_id=19 center=(186.5, 205.472) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=23 center=(226, 186.5) dx=0.459139 dy=0 rot90=0 weight=108
    [move_apply] module_id=17 center=(246, 79) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=60 center=(246.495, 123.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=78 center=(250, 151) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=45 center=(256.5, 189) dx=0 dy=0 rot90=0 weight=108
  Tier 1 [right->left] init_w=27.00 mul=4.00 side_bias=0.00(axis=1)
    [move_apply] module_id=78 center=(250, 151) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=77 center=(235, 239.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=45 center=(256.5, 189) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=17 center=(246, 79) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=60 center=(246.495, 123.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=23 center=(222, 186.5) dx=-4 dy=0 rot90=0 weight=108
    [move_apply] module_id=38 center=(212.5, 123.972) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=98 center=(208.168, 64.4716) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=24 center=(189.5, 166.472) dx=-4 dy=0 rot90=0 weight=108
    [move_apply] module_id=62 center=(172.744, 9.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=93 center=(169.5, 250.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=19 center=(186.5, 205.472) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=55 center=(180.168, 112.349) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=68 center=(167.233, 52.8489) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=16 center=(153, 204.5) dx=0 dy=4 rot90=0 weight=108
    [move_apply] module_id=0 center=(146.668, 154.5) dx=-2.83203 dy=-0.79102 rot90=1 weight=108
